"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2022","18,491.0","18,874.3","19,828.9","18,190.3","44.32K","-2.04%"
"09/20/2022","18,876.1","19,538.7","19,634.4","18,741.8","27.44K","-3.38%"
"09/19/2022","19,536.4","19,418.4","19,683.1","18,281.1","30.95K","0.61%"
"09/18/2022","19,418.4","20,115.3","20,120.5","19,344.6","16.43K","-3.50%"
"09/17/2022","20,121.9","19,798.3","20,178.2","19,757.5","11.55K","1.61%"
"09/16/2022","19,802.5","19,699.9","19,885.6","19,346.7","24.86K","0.52%"
"09/15/2022","19,699.9","20,224.9","20,330.7","19,530.6","21.12K","-2.61%"
"09/14/2022","20,227.5","20,174.4","20,512.9","19,636.4","25.14K","0.26%"
"09/13/2022","20,174.4","22,394.0","22,754.3","19,910.8","37.35K","-9.92%"
"09/12/2022","22,395.0","21,828.9","22,481.4","21,575.9","28.40K","2.49%"
"09/11/2022","21,851.8","21,656.1","21,851.8","21,372.9","14.38K","0.90%"
"09/10/2022","21,656.1","21,370.0","21,804.4","21,154.4","17.75K","1.34%"
"09/09/2022","21,370.0","19,318.3","21,570.0","19,298.0","39.58K","10.59%"
"09/08/2022","19,323.3","19,281.1","19,446.5","19,033.6","20.32K","0.22%"
"09/07/2022","19,280.1","18,787.6","19,459.9","18,564.8","25.57K","2.63%"
"09/06/2022","18,786.1","19,793.5","20,175.1","18,674.1","34.02K","-5.09%"
"09/05/2022","19,793.5","20,003.2","20,047.7","19,645.6","13.93K","-1.06%"
"09/04/2022","20,005.9","19,836.5","20,020.5","19,595.3","10.67K","0.86%"
"09/03/2022","19,835.5","19,956.0","20,046.2","19,663.2","9.54K","-0.60%"
"09/02/2022","19,955.3","20,127.3","20,440.5","19,764.3","19.93K","-0.84%"
"09/01/2022","20,123.4","20,052.7","20,201.2","19,580.2","23.85K","0.37%"
"08/31/2022","20,049.4","19,799.3","20,454.8","19,794.6","36.57K","1.25%"
"08/30/2022","19,802.9","20,295.2","20,558.5","19,553.1","46.45K","-2.42%"
"08/29/2022","20,294.3","19,548.9","20,401.2","19,548.1","33.41K","3.85%"
"08/28/2022","19,541.8","20,033.6","20,151.6","19,525.6","17.06K","-2.46%"
"08/27/2022","20,033.6","20,253.9","20,360.9","19,852.5","22.15K","-1.09%"
"08/26/2022","20,255.2","21,566.8","21,861.7","20,121.3","37.13K","-6.07%"
"08/25/2022","21,565.1","21,366.5","21,803.6","21,317.2","17.06K","0.94%"
"08/24/2022","21,364.6","21,527.9","21,888.1","21,160.7","22.53K","-0.72%"
"08/23/2022","21,518.9","21,414.2","21,666.1","20,899.3","22.72K","0.49%"
"08/22/2022","21,414.2","21,510.4","21,520.2","20,895.4","26.21K","-0.45%"
"08/21/2022","21,510.4","21,138.9","21,716.1","21,073.0","16.02K","1.75%"
"08/20/2022","21,139.5","20,832.2","21,356.2","20,773.8","21.81K","1.46%"
"08/19/2022","20,835.9","23,198.1","23,205.0","20,813.8","45.94K","-10.18%"
"08/18/2022","23,198.1","23,339.6","23,580.8","23,116.1","13.80K","-0.61%"
"08/17/2022","23,340.1","23,857.3","24,430.1","23,184.4","22.74K","-2.21%"
"08/16/2022","23,867.7","24,103.2","24,247.5","23,692.0","19.60K","-0.93%"
"08/15/2022","24,092.8","24,316.3","25,210.9","23,798.7","27.82K","-0.90%"
"08/14/2022","24,312.4","24,455.2","25,034.2","24,160.4","23.30K","-0.61%"
"08/13/2022","24,460.6","24,408.5","24,889.6","24,312.3","13.67K","0.21%"
"08/12/2022","24,408.5","23,947.8","24,456.7","23,623.8","17.24K","1.92%"
"08/11/2022","23,947.8","23,958.7","24,883.3","23,872.1","29.67K","-0.06%"
"08/10/2022","23,962.1","23,154.1","24,212.5","22,690.3","25.97K","3.50%"
"08/09/2022","23,152.3","23,830.1","23,919.0","22,909.7","22.35K","-2.84%"
"08/08/2022","23,830.1","23,180.5","24,247.5","23,168.1","24.09K","2.80%"
"08/07/2022","23,180.5","22,945.7","23,384.1","22,857.0","8.30K","1.02%"
"08/06/2022","22,945.7","23,296.6","23,349.5","22,925.9","9.28K","-1.51%"
"08/05/2022","23,296.6","22,615.4","23,463.2","22,597.1","26.59K","3.05%"
"08/04/2022","22,606.1","22,844.8","23,219.4","22,446.3","21.74K","-1.00%"
"08/03/2022","22,834.6","22,995.1","23,613.0","22,720.0","23.96K","-0.70%"
"08/02/2022","22,995.1","23,290.1","23,444.8","22,666.8","15.01K","-1.27%"
"08/01/2022","23,290.1","23,316.8","23,495.0","22,867.5","12.54K","-0.12%"
"07/31/2022","23,319.0","23,644.7","24,181.3","23,244.8","7.97K","-1.38%"
"07/30/2022","23,644.7","23,785.2","24,605.2","23,520.1","13.26K","-0.60%"
"07/29/2022","23,786.5","23,865.1","24,353.0","23,447.4","18.43K","-0.31%"
"07/28/2022","23,861.3","22,958.4","24,202.5","22,615.0","25.68K","3.90%"
"07/27/2022","22,964.6","21,273.8","23,032.7","21,048.4","24.20K","7.95%"
"07/26/2022","21,273.8","21,312.7","21,330.4","20,730.2","19.32K","-0.18%"
"07/25/2022","21,312.7","22,586.4","22,659.3","21,256.0","22.23K","-5.64%"
"07/24/2022","22,586.4","22,458.2","23,009.1","22,275.0","9.13K","0.57%"
"07/23/2022","22,458.2","22,681.3","23,000.3","21,952.1","12.59K","-0.98%"
"07/22/2022","22,681.0","23,155.0","23,753.3","22,515.5","20.88K","-1.99%"
"07/21/2022","23,140.8","23,216.1","23,414.5","22,352.9","24.11K","-0.32%"
"07/20/2022","23,216.1","23,414.7","24,276.7","22,950.5","34.09K","-0.85%"
"07/19/2022","23,414.7","22,488.8","23,782.9","21,589.5","34.80K","3.98%"
"07/18/2022","22,519.3","20,778.8","22,762.1","20,766.8","31.43K","8.38%"
"07/17/2022","20,778.8","21,203.8","21,644.3","20,753.0","11.45K","-2.01%"
"07/16/2022","21,205.8","20,820.6","21,568.5","20,484.2","12.48K","1.85%"
"07/15/2022","20,820.6","20,574.6","21,184.3","20,375.5","17.73K","1.20%"
"07/14/2022","20,574.6","20,233.2","20,847.6","19,632.6","24.36K","1.69%"
"07/13/2022","20,233.2","19,316.3","20,246.5","18,921.6","28.20K","4.77%"
"07/12/2022","19,311.2","19,948.7","20,030.9","19,239.4","21.63K","-3.19%"
"07/11/2022","19,947.5","20,831.7","20,835.6","19,886.2","16.06K","-4.26%"
"07/10/2022","20,835.6","21,578.9","21,590.7","20,675.4","9.61K","-3.45%"
"07/09/2022","21,580.1","21,597.3","21,941.6","21,333.3","9.42K","-0.08%"
"07/08/2022","21,597.3","21,633.0","22,478.4","21,189.6","25.29K","-0.17%"
"07/07/2022","21,633.1","20,537.6","21,842.2","20,264.5","25.21K","5.33%"
"07/06/2022","20,537.6","20,184.3","20,640.8","19,764.3","18.49K","1.75%"
"07/05/2022","20,184.3","20,196.3","20,702.0","19,278.5","21.93K","-0.06%"
"07/04/2022","20,196.3","19,292.6","20,279.9","19,035.4","14.46K","4.68%"
"07/03/2022","19,292.6","19,220.2","19,596.1","18,797.3","11.82K","0.38%"
"07/02/2022","19,220.2","19,252.7","19,390.7","18,977.8","10.71K","-0.15%"
"07/01/2022","19,248.2","19,950.5","20,752.7","18,980.1","32.97K","-3.48%"
"06/30/2022","19,941.4","20,083.9","20,133.3","18,650.0","28.29K","-0.71%"
"06/29/2022","20,083.9","20,261.4","20,402.8","19,874.1","18.28K","-0.88%"
"06/28/2022","20,261.4","20,701.2","21,189.5","20,184.3","17.64K","-2.12%"
"06/27/2022","20,701.2","21,031.1","21,493.3","20,526.8","17.44K","-1.57%"
"06/26/2022","21,031.1","21,479.6","21,841.1","20,982.2","11.14K","-2.09%"
"06/25/2022","21,479.6","21,205.1","21,557.7","20,900.0","12.88K","1.29%"
"06/24/2022","21,205.1","21,108.1","21,510.0","20,732.3","21.35K","0.46%"
"06/23/2022","21,108.1","19,960.9","21,174.2","19,881.3","21.42K","5.78%"
"06/22/2022","19,953.9","20,695.7","20,862.8","19,763.3","26.56K","-3.60%"
"06/21/2022","20,700.0","20,550.2","21,688.4","20,349.3","23.77K","0.72%"
"06/20/2022","20,551.8","20,565.2","20,981.4","19,620.9","24.90K","-0.03%"
"06/19/2022","20,557.3","18,952.8","20,775.4","17,937.3","29.38K","8.38%"
"06/18/2022","18,968.4","20,444.6","20,740.5","17,598.1","52.89K","-7.18%"
"06/17/2022","20,434.9","20,368.8","21,306.8","20,220.0","25.56K","0.32%"
"06/16/2022","20,368.8","22,560.4","22,921.4","20,207.4","37.58K","-9.71%"
"06/15/2022","22,560.4","22,145.7","22,728.7","20,096.9","62.04K","1.92%"
"06/14/2022","22,135.7","22,430.9","23,250.0","20,831.3","47.37K","-1.29%"
"06/13/2022","22,425.8","26,592.8","26,835.2","22,005.0","81.67K","-15.67%"
"06/12/2022","26,592.8","28,383.8","28,510.0","26,582.1","18.66K","-6.30%"
"06/11/2022","28,380.1","29,059.7","29,406.2","28,086.1","13.27K","-2.34%"
"06/10/2022","29,059.7","30,069.5","30,320.9","28,847.1","23.21K","-3.37%"
"06/09/2022","30,072.6","30,187.2","30,663.2","29,919.4","13.33K","-0.37%"
"06/08/2022","30,184.2","31,108.7","31,296.4","29,849.1","16.77K","-2.96%"
"06/07/2022","31,105.3","31,360.6","31,544.3","29,210.5","23.23K","-0.78%"
"06/06/2022","31,348.3","29,899.3","31,738.0","29,867.6","20.38K","4.82%"
"06/05/2022","29,906.4","29,845.7","30,138.2","29,512.9","5.48K","0.22%"
"06/04/2022","29,841.2","29,677.4","29,941.0","29,463.1","6.39K","0.55%"
"06/03/2022","29,677.4","30,431.8","30,659.6","29,277.7","15.02K","-2.48%"
"06/02/2022","30,431.1","29,784.8","30,653.9","29,592.3","18.51K","2.17%"
"06/01/2022","29,784.8","31,780.7","31,961.9","29,363.0","26.85K","-6.28%"
"05/31/2022","31,780.7","31,715.6","32,371.0","31,201.8","21.19K","0.19%"
